player_id,player_name,team_id,team,team_code,position_raw
428886,Luis DIAZ,43926,Colombia,COL,Forward
425580,Jorge CARRASCAL,43926,Colombia,COL,Midfielder
369530,Jhon CORDOBA,43926,Colombia,COL,Forward
269058,James RODRIGUEZ,43926,Colombia,COL,Midfielder
470760,Jhon ARIAS,43926,Colombia,COL,Midfielder
360642,Camilo VARGAS,43926,Colombia,COL,Goalkeeper
395552,Yerry MINA,43926,Colombia,COL,Defender
463902,Gustavo PUERTA,43926,Colombia,COL,Defender
489849,Juan PORTILLA,43926,Colombia,COL,Midfielder
395550,Jefferson LERMA,43926,Colombia,COL,Midfielder
394500,Johan MOJICA,43926,Colombia,COL,Defender
476345,Willer DITTA,43926,Colombia,COL,Defender
418881,Cucho HERNANDEZ,43926,Colombia,COL,Forward
356704,Juan QUINTERO,43926,Colombia,COL,Midfielder
405755,Jaminton CAMPAZ,43926,Colombia,COL,Forward
394376,Deiver MACHADO,43926,Colombia,COL,Defender
386013,Davinson SANCHEZ,43926,Colombia,COL,Defender
385998,Alvaro MONTERO,43926,Colombia,COL,Goalkeeper
428905,Luis SUAREZ,43926,Colombia,COL,Forward
492189,Andres GOMEZ,43926,Colombia,COL,Forward
441313,Lionel MPASI,20014,Congo DR,COD,Goalkeeper
426357,Aaron WAN-BISSAKA,20014,Congo DR,COD,Defender
504329,Steve KAPUADI,20014,Congo DR,COD,Defender
403063,Axel Tuanzebe,20014,Congo DR,COD,Defender
477829,Dylan BATUBINSIKA,20014,Congo DR,COD,Defender
494458,Ngalayel MUKAU,20014,Congo DR,COD,Midfielder
424119,Nathanael MBUKU,20014,Congo DR,COD,Midfielder
433076,Samuel Moutoussamy,20014,Congo DR,COD,Midfielder
510989,Brian CIPENGA,20014,Congo DR,COD,Forward
441317,Theo BONGONDA,20014,Congo DR,COD,Midfielder
336439,Gael KAKUTA,20014,Congo DR,COD,Forward
477833,Joris KAYEMBE,20014,Congo DR,COD,Defender
426506,Meschack ELIA,20014,Congo DR,COD,Forward
486147,Noah SADIKI,20014,Congo DR,COD,Midfielder
477864,Aaron TSHIBOLA,20014,Congo DR,COD,Midfielder
486196,Timothy FAYULU,20014,Congo DR,COD,Goalkeeper
336425,Cedric BAKAMBU,20014,Congo DR,COD,Forward
448128,Charles PICKEL,20014,Congo DR,COD,Midfielder
477859,Fiston MAYELE,20014,Congo DR,COD,Forward
441316,Yoane WISSA,20014,Congo DR,COD,Forward
514171,Matthieu EPOLO,20014,Congo DR,COD,Goalkeeper
356532,Chancel MBEMBA,20014,Congo DR,COD,Defender
477835,Simon BANZA,20014,Congo DR,COD,Forward
477853,Gedeon KALULU,20014,Congo DR,COD,Defender
433161,Edo Kayembe,20014,Congo DR,COD,Midfielder
436572,Arthur MASUAKU,20014,Congo DR,COD,Defender
405873,Yahia Fofana,43854,Côte d'Ivoire,CIV,Goalkeeper
477802,Ousmane DIOMANDE,43854,Côte d'Ivoire,CIV,Defender
407343,Ghislain KONAN,43854,Côte d'Ivoire,CIV,Defender
335807,Jean Michael SERI,43854,Côte d'Ivoire,CIV,Midfielder
430854,Wilfried SINGO,43854,Côte d'Ivoire,CIV,Defender
405175,Seko Fofana,43854,Côte d'Ivoire,CIV,Midfielder
477825,Odilon KOSSOUNOU,43854,Côte d'Ivoire,CIV,Defender
371609,Franck KESSIE,43854,Côte d'Ivoire,CIV,Midfielder
464103,Ange-Yoan BONNY,43854,Côte d'Ivoire,CIV,Forward
477778,Simon ADINGRA,43854,Côte d'Ivoire,CIV,Forward
510922,Yan DIOMANDE,43854,Côte d'Ivoire,CIV,Forward
464133,Elye WAHI,43854,Côte d'Ivoire,CIV,Forward
486260,Christopher OPERI,43854,Côte d'Ivoire,CIV,Defender
477777,Oumar DIAKITE,43854,Côte d'Ivoire,CIV,Forward
430822,Amad DIALLO,43854,Côte d'Ivoire,CIV,Forward
486259,Mohamed KONE,43854,Côte d'Ivoire,CIV,Goalkeeper
486317,Guela DOUE,43854,Côte d'Ivoire,CIV,Defender
430831,Ibrahim SANGARE,43854,Côte d'Ivoire,CIV,Midfielder
402261,Nicolas PEPE,43854,Côte d'Ivoire,CIV,Forward
486268,Emmanuel AGBADOU,43854,Côte d'Ivoire,CIV,Defender
419172,Evan NDICKA,43854,Côte d'Ivoire,CIV,Defender
485675,Evann GUESSAND,43854,Côte d'Ivoire,CIV,Forward
403090,Alban Lafont,43854,Côte d'Ivoire,CIV,Goalkeeper
506202,Bazoumana TOURE,43854,Côte d'Ivoire,CIV,Forward
430834,Parfait GUIAGON,43854,Côte d'Ivoire,CIV,Midfielder
514208,Christ Inao OULAI,43854,Côte d'Ivoire,CIV,Midfielder
369029,Dominik LIVAKOVIC,43938,Croatia,CRO,Goalkeeper
433667,Josip STANISIC,43938,Croatia,CRO,Defender
448174,Marin PONGRACIC,43938,Croatia,CRO,Defender
448180,Josko GVARDIOL,43938,Croatia,CRO,Defender
372424,Duje CALETA-CAR,43938,Croatia,CRO,Defender
448171,Josip SUTALO,43938,Croatia,CRO,Defender
389753,Nikola Moro,43938,Croatia,CRO,Midfielder
339987,Mateo KOVACIC,43938,Croatia,CRO,Midfielder
336472,Andrej KRAMARIC,43938,Croatia,CRO,Forward
241559,Luka MODRIC,43938,Croatia,CRO,Midfielder
430070,Ante BUDIMIR,43938,Croatia,CRO,Forward
514526,Ivor PANDUR,43938,Croatia,CRO,Goalkeeper
409191,Nikola VLASIC,43938,Croatia,CRO,Midfielder
359381,Ivan PERISIC,43938,Croatia,CRO,Forward
380005,Mario PASALIC,43938,Croatia,CRO,Midfielder
482774,Martin BATURINA,43938,Croatia,CRO,Midfielder
485066,Petar SUCIC,43938,Croatia,CRO,Midfielder
448164,Kristijan JAKIC,43938,Croatia,CRO,Defender
485065,Toni FRUK,43938,Croatia,CRO,Midfielder
